1, 61, 121, 181, 241, 301, 361, 421, 481, 541, 601, 661, 721, 781, 841, 901, 961, 1021, 1081, 1141, 1201, 1261, 1321, 1381, 1441, 1501, 1561, 1621, 1681, 1741, 1801, 1861, 1921, 1981, 2041, 2101, 2161, 2221, 2281, 2341, 2401, 2461, 2521, 2581, 2641, 2701, 2761, 2821, 2881, 2941, 3001, 3061, 3121, 3181, 3241, 3301, 3361, 3421, 3481, 3541
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 65, 125, 185, 245, 305, 365, 425, 485, 545, 605, 665, 725, 785, 845, 905, 965, 1025, 1085, 1145, 1205, 1265, 1325, 1385, 1445, 1505, 1565, 1625, 1685, 1745, 1805, 1865, 1925, 1985, 2045, 2105, 2165, 2225, 2285, 2345, 2405, 2465, 2525, 2585, 2645, 2705, 2765, 2825, 2885, 2945, 3005, 3065, 3125, 3185, 3245, 3305, 3365, 3425, 3485, 3545
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 67, 127, 187, 247, 307, 367, 427, 487, 547, 607, 667, 727, 787, 847, 907, 967, 1027, 1087, 1147, 1207, 1267, 1327, 1387, 1447, 1507, 1567, 1627, 1687, 1747, 1807, 1867, 1927, 1987, 2047, 2107, 2167, 2227, 2287, 2347, 2407, 2467, 2527, 2587, 2647, 2707, 2767, 2827, 2887, 2947, 3007, 3067, 3127, 3187, 3247, 3307, 3367, 3427, 3487, 3547
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 71, 131, 191, 251, 311, 371, 431, 491, 551, 611, 671, 731, 791, 851, 911, 971, 1031, 1091, 1151, 1211, 1271, 1331, 1391, 1451, 1511, 1571, 1631, 1691, 1751, 1811, 1871, 1931, 1991, 2051, 2111, 2171, 2231, 2291, 2351, 2411, 2471, 2531, 2591, 2651, 2711, 2771, 2831, 2891, 2951, 3011, 3071, 3131, 3191, 3251, 3311, 3371, 3431, 3491, 3551
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 73, 133, 193, 253, 313, 373, 433, 493, 553, 613, 673, 733, 793, 853, 913, 973, 1033, 1093, 1153, 1213, 1273, 1333, 1393, 1453, 1513, 1573, 1633, 1693, 1753, 1813, 1873, 1933, 1993, 2053, 2113, 2173, 2233, 2293, 2353, 2413, 2473, 2533, 2593, 2653, 2713, 2773, 2833, 2893, 2953, 3013, 3073, 3133, 3193, 3253, 3313, 3373, 3433, 3493, 3553
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 77, 137, 197, 257, 317, 377, 437, 497, 557, 617, 677, 737, 797, 857, 917, 977, 1037, 1097, 1157, 1217, 1277, 1337, 1397, 1457, 1517, 1577, 1637, 1697, 1757, 1817, 1877, 1937, 1997, 2057, 2117, 2177, 2237, 2297, 2357, 2417, 2477, 2537, 2597, 2657, 2717, 2777, 2837, 2897, 2957, 3017, 3077, 3137, 3197, 3257, 3317, 3377, 3437, 3497, 3557
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 79, 139, 199, 259, 319, 379, 439, 499, 559, 619, 679, 739, 799, 859, 919, 979, 1039, 1099, 1159, 1219, 1279, 1339, 1399, 1459, 1519, 1579, 1639, 1699, 1759, 1819, 1879, 1939, 1999, 2059, 2119, 2179, 2239, 2299, 2359, 2419, 2479, 2539, 2599, 2659, 2719, 2779, 2839, 2899, 2959, 3019, 3079, 3139, 3199, 3259, 3319, 3379, 3439, 3499, 3559
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 83, 143, 203, 263, 323, 383, 443, 503, 563, 623, 683, 743, 803, 863, 923, 983, 1043, 1103, 1163, 1223, 1283, 1343, 1403, 1463, 1523, 1583, 1643, 1703, 1763, 1823, 1883, 1943, 2003, 2063, 2123, 2183, 2243, 2303, 2363, 2423, 2483, 2543, 2603, 2663, 2723, 2783, 2843, 2903, 2963, 3023, 3083, 3143, 3203, 3263, 3323, 3383, 3443, 3503, 3563
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 85, 145, 205, 265, 325, 385, 445, 505, 565, 625, 685, 745, 805, 865, 925, 985, 1045, 1105, 1165, 1225, 1285, 1345, 1405, 1465, 1525, 1585, 1645, 1705, 1765, 1825, 1885, 1945, 2005, 2065, 2125, 2185, 2245, 2305, 2365, 2425, 2485, 2545, 2605, 2665, 2725, 2785, 2845, 2905, 2965, 3025, 3085, 3145, 3205, 3265, 3325, 3385, 3445, 3505, 3565
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
